"id","issint","threat.MMR","threat.PHL","imp.MMR","imp.PHL","odaimp","potential.MMR","potential.PHL","threat.CHN","threat.CHN.3cat","treatment","treat_China","treat_MMR","treat_PHL","med_econ","med_secu","med_repu","med_effi","cancel_aid","cancel_aid_3cat","cancel_aid_2cat","fem","age","right","ide3","comply"
1592,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,50,NA,NA,1
1593,"0","1","0","1","1",1,"1","2",1,"1",2,1,1,0,"4","4","4","2","4","2",1,1,29,1,"2",1
1594,"1","1","1","2","2",1,"1","1",1,"1",3,1,0,1,"5","5","5","3","3","1",0,1,46,0,"1",1
1595,"1","0","0","2","2",1,"1","1",0,"0",5,0,0,1,"4","3","3","3","5","2",1,1,38,0,"0",1
1596,"1","1","0","2","2",0,"1","2",1,"1",2,1,1,0,"3","3",NA,"3","4","2",1,0,59,0,"0",1
1600,"1","1","0","1","2",1,"1","1",1,"1",2,1,1,0,"3","3","3","3","5","2",1,0,53,0,"1",5
1601,"0","0","0","0","1",0,"1","1",0,"0",3,1,0,1,"3","3","3","3","4","2",1,1,32,0,"0",2
1602,"2","2","2","2","2",1,"2","2",1,"2",1,0,1,0,"5","5","5","1","1","1",0,0,37,NA,NA,2
1604,"0","1","1","1","1",0,"2","1",0,"0",2,1,1,0,"3","3","2","2","7","3",1,0,64,NA,NA,1
1605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,61,NA,NA,1
1606,"1","0","0","1","1",1,"1","0",1,"2",1,0,1,0,"3","3","3","3","5","2",1,1,35,0,"1",2
1610,"2","2","2","2","2",0,"2","1",0,"0",1,0,1,0,"3","3","3","3","9","3",1,0,55,1,"2",1
1612,"1","0","0","2","2",1,"1","2",0,"0",2,1,1,0,"4","4","3","3","4","2",1,1,46,0,"0",1
1613,"1","0","0","1","1",1,"1","1",0,"0",1,0,1,0,"3","4","4","3","3","1",0,1,25,0,"1",1
1614,"0","1","1","1","1",1,"1","1",1,"1",2,1,1,0,"3","3","3","3","5","2",1,1,61,0,"1",1
1616,"1","0","0","2","2",0,"1","0",1,"2",1,0,1,0,"2","3","3","3","7","3",1,1,64,0,"0",1
1618,"0","0","1","1","1",1,"1","1",1,"1",3,1,0,1,"3","3","3","3","5","2",1,1,57,0,"1",6
1620,"0",NA,NA,NA,NA,NA,"1","1",NA,NA,5,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,55,NA,NA,1
1621,"1","1","1","1","1",1,"1","1",1,"2",1,0,1,0,"2","2","3","3","6","2",1,1,33,1,"2",1
1622,"0","2","0","2","2",1,"0","0",1,"2",2,1,1,0,"3","3","4","3","6","2",1,1,21,0,"1",1
1623,"1","1","1","1","1",1,"0","0",1,"1",3,1,0,1,"4","3","4","4","4","2",1,1,67,1,"2",1
1624,"0","0","0","0","1",1,"1","0",1,"1",2,1,1,0,"2","3","3","3","4","2",1,0,40,1,"2",1
1625,"1","0","0","1","1",1,"2","2",1,"2",5,0,0,1,"5","5","5","1","2","1",0,1,42,1,"2",1
1627,"1","0","0","2","2",1,"1","1",1,"1",3,1,0,1,"5","4","4","3","3","1",0,0,64,0,"1",1
1628,"1","1","1","1","1",1,"2","1",1,"1",2,1,1,0,"3","3","3","3","9","3",1,0,63,0,"1",5
1629,"1","1","1","2","2",1,"2","2",1,"1",2,1,1,0,"4","3","4","2","6","2",1,1,67,0,"0",1
1631,"0","0","0","2","2",1,"1","2",0,"0",3,1,0,1,"3","5","2","3","6","2",1,0,63,0,"0",1
1635,"0","0","0","0","1",1,"1","1",NA,NA,2,1,1,0,"4","3","3","3","4","2",1,0,62,0,"1",4
1637,"2","0","0","2","2",1,"0","0",1,"1",3,1,0,1,"4","3","5","5","4","2",1,0,60,NA,NA,1
1638,"1","1","0","1","1",1,"0","0",1,"1",3,1,0,1,"3","3","3","4","5","2",1,1,54,0,"1",1
1640,"1","0","0","2","2",0,"1","0",1,"1",5,0,0,1,"3","4","4","4","6","2",1,0,59,0,"0",1
1641,"2","1","1","2","2",1,"1","1",1,"2",2,1,1,0,"4","4","3","3","3","1",0,1,65,1,"2",1
1642,"2","1","0","2","2",1,"2","2",1,"2",5,0,0,1,"5","5","3","2","1","1",0,0,50,1,"2",1
1648,"1","1","1","2","2",1,"2","2",1,"2",1,0,1,0,"5","5","3","4","4","2",1,1,54,0,"1",1
1649,"1","0","0","2","2",1,"2","2",1,"1",3,1,0,1,"4","4","3","2","4","2",1,0,61,0,"1",1
1653,"1","0","0","1","1",1,"1","1",0,"0",1,0,1,0,"3","4","3","3","4","2",1,0,45,0,"1",2
1654,"0","0","0","0","0",0,"1","1",0,"0",5,0,0,1,"2","2","2","4","5","2",1,1,64,0,"0",6
1655,"0",NA,NA,NA,NA,0,NA,NA,NA,NA,5,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,26,NA,NA,5
1656,"1","0","0","1","1",1,"1","1",1,"2",5,0,0,1,"3","3","3","3","5","2",1,1,60,0,"1",1
1660,"0","0","0","1","1",1,"1","1",0,"0",2,1,1,0,"3","3","3","3","5","2",1,0,45,0,"1",1
